№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
1|Каким транспортным средствам разрешена стоянка?|Только мотоциклу.|Только грузовому автомобилю.|Только легковому автомобилю.|Легковому автомобилю и мотоциклу.|Всем транспортным средствам.|4
2|Стоянка запрещена:|На мостах, эстакадах и путепроводах.|Под мостами, эстакадами и путепроводами.|Во всех перечисленных случаях.|||3
3|Разрешается ли высадка пассажиров в месте, где нанесена по верху бордюра сплошная желтая линия в сочетании со знаком "Остановка запрещена"?|Разрешается|Запрещается|Разрешается в отсутствии транспортных средств общего пользования.|Разрешается только транспортным средствам общего пользования.||2
4|Действует ли запрещающий знак на той части дороги, где совершил остановку водитель?|Действует.|Не действует.||||1
5|Разрешается ли остановка автомобиля в указанном месте?|Разрешается|Запрещается||||1
6|На каком расстоянии от железнодорожных переездов запрещена остановка транспортных средств?|300 м.|150 м.|100м.|50 м.|25 м.|5
7|Разрешается ли в данной ситуации остановиться для высадки пассажира?|Разрешается, если это не создает помех транспортным средствам общего пользования.|Запрещается||||1
8|Кто из водителей должен остановиться?|Водитель легкового автомобиля.|Водитель автобуса.|Оба водителя.|||1
9|Данная дорожная разметка разрешает движение:|Только налево.|Налево и в обратном направлении.|Только в обратном направлении.|Прямо, налево и в обратном направлении.||2
10|Каким транспортным средствам разрешена стоянка в зоне действия показанного дорожного знака?|Только транспортным средствам общего пользования.|Транспортным средствам, управляемым инвалидами, и такси с включенным таксометром.||||2
11|Что обозначает данная дорожная разметка?|Место для посадки - высадки пассажиров.|Место остановки транспортных средств общего пользования.|Место остановки транспортных средств общего пользования и стоянки такси.|||2
12|Что показывает сплошная желтая линия горизонтальной разметки?|Место, где запрещается остановка и стоянка транспортных средств.|Место, где разрешается остановка для высадки пассажиров или разгрузки груза транспортного средства.|Место, где запрещается стоянка транспортных средств.|||1
13|Разрешается ли водителю пересекать сплошную линию разметки, обозначающую границы стояночных мест транспортных средств?|Запрещается.|Разрешается.||||2
14|По какому из обозначенных стрелками пути разрешено движение?|Только прямо.|Налево и в обратном направлении.|Прямо, налево и в обратном направлении.|||1
15|Что обозначает данная разметка?|Пешеходный переход, где движение регулируется светофором.|Место, где велосипедная дорожка пересекает проезжую часть.|Место, где пешеходная дорожка пересекает проезжую часть.|||2
16|Сколько полос имеет дорога, где транспортные потоки противоположных направлений разделяются двойными сплошными линиями?|Две полосы.|Две или три полосы.|Три полосы.|Четыре или более полос.||4
17|О чем предупреждают разметки в виде стрелок на проезжей части?|Предупреждают водителя о приближении к опасному участку дороги.|Предупреждают о приближении к концу полосы движения.|Указывают направление опасного поворота дороги.|||2
18|Какая из линий разметки используется для обозначения полос, на которых осуществляется реверсивное движение?|1-ая линия.|2-ая линия.|3-я линия.|2-ая и 3-я линии.|3-я и 4-ая линии.|2
19|Где наносится сплошная желтая линия, обозначающая места, запрещающие остановку и стоянку?|На проезжей части.|У края проезжей части.|У края проезжей части или по верху бордюров.|Только по верху бордюров.||3
20|С каким дорожным знаком может быть применена разметка в виде желтой прерывистой линии?|"Остановка запрещена".|"Стоянка запрещена".|"Стоянка запрещена по нечетным числам месяца".|||2
21|Каким транспортным средствам запрещено движение по правой полосе проезжей части?|Всем механическим транспортным средствам.|Транспортным средствам общего пользования и такси.|Только велосипедам.|Только транспортным средствам общего пользования.||4
22|Эта дорожная разметка имеет следующее значение:|Показывает места, где указаны способы постановки механических транспортных средств на околотротуарной стоянке.|Показывает места, где запрещена остановка механических транспортных средств.|Показывает пункты остановок транспортных средств общего пользования и места стоянки такси.|||3
