№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
1|При приближении к остановившемуся транспортному средству с включенным проблесковым маячком красного цвета, водители транспортных средств общего пользования, движущихся в данном направлении, должны:|Остановиться и продолжить движение только после получения разрешения.|Снизить скорость, чтобы иметь возможность немедленно остановиться в случае необходимости.|Продолжить движение, так как движутся по определенному маршруту.|||1
2|При приближении транспортного средства с включенными проблесковым маячком синего цвета и специальным звуковым сигналом, водители транспортных средств общего пользования должны:|Продолжить движение, так как движутся по определенному маршруту.|Уступить дорогу для обеспечения беспрепятственного проезда указанного транспортного средства.|Снизить скорость и уступить дорогу для обеспечения беспрепятственного проезда указанного транспортного средства.|||2
3|Водителями транспортных средств общего пользования звуковые сигналы могут применяться:|Для получения преимущества по отношению к другим участникам движения.|В населенных пунктах, для предупреждения других водителей о намерении произвести обгон.|Когда это необходимо для предотвращения дорожно-транспортного происшествия.|Во всех случаях.||3
4|При движении по установленному маршруту в темное время суток на неосвещенных участках дорог на автобусе должен быть включен:|Только ближний свет фар.|Только дальний свет фар.|Дальний или ближний свет фар.|||3
5|Должен ли быть включен ближний свет фар на транспортном средстве общего пользования при движении в светлое время суток по специально выделенной полосе против основного потока движения?|Должен.|Не должен.||||1
6|В каком случае правила не требуют подачи предупредительного сигнала?|Перед остановкой у края проезжей части.|Перед закруглением дороги, обозначенной знаком "Опасный поворот".|Перед перестроением на соседнюю полосу движения.|||2
7|Перед перестроением предупредительный сигнал должен быть подан:|Непосредственно перед выполнением маневра.|Сразу после выполнения маневра.|Заранее - до выполнения маневра.|||3
8|Перед маневром предупредительный сигнал должен быть подан:|Непосредственно перед выполнением маневра.|Одновременно с выполнением маневра.|Заранее - до выполнения маневра.|||3
9|Подача водителем предупредительного сигнала рукой прекращается:|Непосредственно перед выполнением маневра.|Непосредственно после завершения выполнения маневра.|Во время выполнения маневра.|||1
10|В каком случае водитель должен подать предупредительный сигнал перед остановкой?|Если сзади него движется другое транспортное средство.|Только в населенных пунктах.|Во всех случаях.|||3
11|Какие сигналы общей тревоги обязан подавать водитель звуковыми сигналами при вынужденной остановке транспортного средства на железнодорожном переезде?|Три длинных и один короткий.|Один длинный и три коротких.|Один длинный и два коротких.|||2
12|При отсутствии или неисправности светового указателя поворота подача предупредительного сигнала рукой прекращается:|Непосредственно перед выполнением маневра.|Непосредственно после завершения выполнения маневра.|Во время выполнения маневра.|||1
13|Сигналом общей тревоги на железнодорожном переезде служат следующие комбинации звуковых сигналов:|Два длинных и два коротких.|Один длинный и три коротких.|Три длинных и три коротких.|Три длинных и один короткий.||2
14|На каком рисунке водитель подает сигнал о повороте налево?|1|2|3|||1
15|Приближаясь к стоящему транспотному средству с включенным проблесковым маячком красного цвета, водители транспортных средств, движущихся в данном направлении, должны:|Остановиться и продолжить движение, после получения на это разрешение.|Снизить скорость, чтобы иметь возможность немедленно остановиться в случае необходимости.||||1
16|С какой целью на транспортных средствах устанавливаются проблесковые маячки оранжевого или желтого цветов?|Для получения преимущества по отношению к другим участникам движения.|Для предупреждения другим участникам движения об опасности.||||2
17|При приближении транспортного средства с включенными проблесковым маячком синего цвета и специальным звуковым сигналом, водители должны:|Уступить дорогу для обеспечения беспрепятственного проезда указанного транспортного средства,|Снизить скорость и уступить дорогу для обеспечения беспрепятственного проезда указанного транспортного средства,||||1
18|Синий автомобиль проедет перекресток:|Первым одновременно с красным.|Вторым одновременно с красным.|Третьим одновременно с красным.|||3
19|При приближении транспортного средства с включенными проблесковым маячком синего и красного цветов и специальным звуковым сигналом, водители должны|Уступить дорогу для обеспечения беспрепятственного проезда указанного транспортного средства,|Снизить скорость и уступить дорогу для обеспечения беспрепятственного проезда указанного транспортного средства, а также сопровождаемых им транспортных средств.||||2
20|Водитель какого транспортного средства имеет право на первоочередное движение?|Водитель дорожной машины.|Водитель легкового автомобиля.||||2
21|Черный автомобиль проедет перекресток:|Первым.|Вторым.|Последним.|||2
22|Водитель какого транспортного средства должен уступить дорогу?|Водитель автомобиля скорой помощи.|Водитель легкового автомобиля.||||2
23|Синий автомобиль проедет перекресток:|Первым.|Вторым.|Третьим.|Последним.||4
24|Дает ли преимущество в движении включенный на транспортном средстве пролесковый маячок желтого (оранжевого) цвета?|Дает.|Не дает.||||2
25|Водитель транспортного средства с включенным проблесковым маячком бело-лунного цвета подает специальный звуковой сигнал, чтобы:|Получить преимущество в движении перед другими участниками движения.|Привлечь внимание служащих полиции и других лиц.||||2
26|Водитель транспортного средства с оборудованным проблесковым маячком синего цвета имеет преимущество перед другими участниками движения, если:|Включил проблесковый маячок.|Подает специальный звуковой сигнал.|Включил проблесковый маячок и подает специальный звуковой сигнал.|||3
27|На каком расстоянии запрещен обгон перед железнодорожным переездом?|Ближе, чем за 50 м.|Ближе, чем за 100 м.|Ближе, чем за 150 м.|||2
28|Разрешается ли обгон транспортных средств в зоне перекрестка на дороге, являющейся главной по отношению к пересекаемой?|Разрешается.|Запрещается.||||2
29|Разрешается ли водителю легкового автомобиля выполнить обгон в данной ситуации?|Разрешается.|Разрешается, если скорость мотоцикла не превышает 30 км/ч.|Запрещается.|||3
30|Обгон запрещается:|На перекрестке.|Ближе, чем за 150 м до железнодорожного переезда.|В обоих случаях.|||1
31|Обгон запрещается:|На регулируемых перекрестках.|На нерегулируемых перекрестках.|В обоих случаях.|||3
32|Разрешается ли обгонять автопоезд в данной ситуации, если его скорость не превышает 30 км/ч?|Запрещается.|Разрешается.||||1
33|Разрешается ли водителю зеленого автомобиля выполнить обгон?|Разрешается.|Запрещается.|Разрешается, если красный автомобиль движется со скоростью менее 30 км/ч.|||2
34|Разрешается ли водителю красного автомобиля выполнить обгон в данной ситуации?|Разрешается.|Запрещается.|Разрешается, если скорость обгоняемого автомобиля не превышает 30 км/ч.|||2
35|Разрешается ли в указанном месте обгонять автобус?|Разрешается.|Запрещается.||||1
36|Обгоном транспортных средств считается:|Опережение находящегося в движении одного или нескольких транспортных средств, связанное с выездом на полосу встречного движения.|Опережение находящегося в движении одного или нескольких транспортных средств, связанное с выездом с занимаемой полосы.||||2
37|В темное время суток и в условиях недостаточной видимости, независимо от освещения дороги, на движущемся механическом транспортном средстве должны быть включены:|Дальний свет фар.|Ближний свет фар.|Дальний или ближний свет фар.|||3
38|В каком случае в светлое время суток на мотоцикле должен быть включен ближний свет фар?|При движении в условиях недостаточной видимости.|На имеющем неисправности мотоцикле, следующем к месту стоянки.|В любом случае, при нахождении в движении.|При перевозке больного пассажира.||3
