№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
1|Эксплуатация транспортных средств запрещена, если:|Остаточная высота протектора шин легкового автомобиля составляет 1.8 мм.|Нарушена герметичность гидравлического тормозного привода.|В обоих случаях.|||2
2|Эксплуатация транспортных средств запрещена, если:|Остаточная высота протектора шин грузового автомобиля составляет 1.6 мм.|Не действует манометр пневматического тормозного привода.|В обоих случаях.|||2
3|Эксплуатация транспортных средств запрещена, если:|В рулевом управлении имеются не предусмотренные конструкцией перемещения деталей и узлов или резьбовые соединения не затянуты.|В грузовом автомобиле отсутствует огнетушитель.|В обоих случаях.|||3
4|Эксплуатация транспортных средств запрещена, если:|Не работают в установленном режиме внешние световые приборы.|Остаточная высота протектора шин мотоцикла составляет 0.6 мм.|В обоих случаях.|||3
5|Эксплуатация транспортных средств запрещена, если:|Задние противотуманные фонари подключены к светодиодным стоп-сигналам транспортного средства.|Не работает указатель температуры охлаждающей жидкости двигателя.|В обоих случаях.|||1
6|Эксплуатация транспортных средств запрещена, если:|Двигатель работает с перебоями.|Шины имеют обнажающие корд местные повреждения.|Не работают приборы внутреннего освещения салона легкового автомобиля.|Во всех перечисленных случаях||2
7|Эксплуатация транспортных средств запрещена, если:|На мотоцикле без бокового прицепа отсутствует знак "Аварийная остановка".|Шины по размеру или допустимой нагрузке не соответствуют модели транспортного средства.|В обоих случаях.|||2
8|Эксплуатация транспортных средств запрещена, если:|Отсутствует хотя бы один болт крепления обода колеса.|На одну ось установлены шины с различными рисунками протектора.|В обоих случаях.|||3
9|Эксплуатация транспортных средств запрещена, если:|Отсутствуют предусмотренные конструкцией подголовники сидений.|На одну ось установлены новые и восстановленные шины.|В обоих случаях.|||3
10|Эксплуатация транспортных средств запрещена, если:|Содержание вредных веществ в отработавших газах превышает нормы, установленные законодательством РА.|На мотоцикле отсутствуют предусмотренные конструкцией подножки.|В обоих случаях.|||3
11|Эксплуатация транспортных средств запрещена, если:|Нарушена герметичность системы вентиляции картера двигателя.|Нарушена герметичность системы питания двигателя.|В обоих случаях.|||3
12|Эксплуатация транспортных средств запрещена, если:|Нарушена герметичность системы вентиляции картера двигателя.|На одну ось установлены новые морозостойкие и неморозостойкие шины.|В обоих случаях.|||3
13|Эксплуатация транспортных средств запрещена, если:|Не работают предусмотренные конструкцией стеклоомыватели.|Допустимый уровень внешнего шума двигателя превышает установленные стандартом нормы.|В обоих случаях.|||3
