№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
1|При травме головы, оказывая помощь пострадавшему, необходимо:|Уложить его, проподняв ноги.|Уложить его, приподняв голову и туловище, обеспечив полулежащее положение.|Уложить его в горизонтальном положении.|||2
2|При автомобильной аварии какому из следующих пострадавших Вы окажете помощь в первую очередь?|Испуганной беременной женщине.|Ребенку с царапинами.|Мужчине со сломанной рукой.|Мужчине без сознания.||4
3|При кровотечении из носа, оказывая помощь пострадавшему, необходимо:|Запрокинуть голову пострадавшего назад.|Наклонить голову пострадавшего и сдавить верхнюю часть носа.|Ввести ватный тампон в нос пострадавшего.|Подождать пока кровотечение само остановится.||2
4|Во время движения водитель внезапно начинает жаловаться на сильную давящую боль в грудной клетке и затрудненное дыхание. Как следует поступить?|Предложить ему обратиться в ближайшую больницу.|Дать ему стакан воды, 2 таблетки валерианы.|Незамедлительно остановить машину и включить аварийную сигнализацию.|Посоветовать ему немного пройтись и подышать свежим воздухом.||3
5|Какую помощь следует оказать пострадавшему при судорожном припадке?|Удерживать пострадавшего, стараясь ослабить судороги.|Попытаться раскрыть рот, удержать язык и положить какой-либо предмет между зубами.|Попытаться раскрыть дыхательные пути, откинув назад голову пострадавшего.|Не трогать, подождать, пока судороги прекратятся.||4
6|Как следует поступить, оказывая помощь при ожоге?|Оставить ожог открытым.|Вскрыть волдыри с жидкостью, после чего туго перевязать.|Смазать ожог растительным маслом.|Охладить ожог водой, после чего накрыть стерильной перевязочной материей или чистыми тканями.||4
7|В результате аварии пешеход упал и повредил руку. На предплечье имеется большая рана (около 5 см), из которой непрерывно вытекает кровь темного цвета. Что необходимо сделать для остановки кровотечения?|Промыть рану водой.|Приподнять руку пострадавшего и наложить тугую повязку.|Рану смазать спиртовым раствором йода.|||2
8|Оказывая помощь при закрытых травмах мягких тканей конечностей, в первые часы следует:|Наложить на рану теплую примочку.|Наложить на рану холодную примочку и приподнять.|Наложить на рану холодную примочку и удерживать ниже уровня сердца.|Наложить на рану спиртовую примочку.||2
9|Водитель, сидя на корточках, продолжительное время заменял колесо автомобиля. Резко привстав, хватается за голову и, потеряв сознание, падает. Что следует делать?|Попытаться посадить его.|Приподнять его ноги.|Обрызгать лицо холодной водой.|Ударить по лицу.||2
10|Как следует поступить, если невозможно обеспечить безопасность на месте происшествия?|Оказать помощь всем, но быть осторожным.|Оказать помощь пострадавшему, находящемуся к вам ближе всех.|Не подходить, немедленно сообщить о случившемся и не разрешать посторонним лицам подходить к месту происшествия.|Не подходить, попросить кого-либо другого оказать помощь.||3
