№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
1|Движение запрещается:|Красному и белому автомобилям.|Синему, зеленому и белому автомобилям.|Белому, синему и желтому автомобилям.|||2
2|Кто из водителей имеет право двигаться в прямом направлении?|Водители автобуса и мотоцикла.|Водители легкового и грузового автомобилей.|Водитель легкового автомобиля.|||3
3|Водитель какого транспортного средства должен уступить дорогу?|Водитель автомобиля.|Водитель трамвая.||||2
4|Если правая рука регулировщика вытянута вправо, то движение безрельсовым транспортным средствам разрешено:|Со стороны левого бока - налево и в обратном направлении.|Со стороны правого бока - только направо.|Со стороны левого бока - во всех направлениях.|Со спины - только направо.||3
5|Транспортные средства проедут перекресток в следующей последовательности:|Трамвай и автобус, легковой автомобиль.|Трамвай, легковой автомобиль, автобус.|Легковой автомобиль, трамвай и автобус.|||3
6|В каком ответе правильно указаны те транспортные средства, которым разрешено движение?|Мотоцикл.|Грузовой автомобиль.|Автобус.|Легковой автомобиль.|Легковой и грузовой автомобили.|4
7|Водитель какого транспортного средства должен уступить дорогу?|Водитель мотоцикла.|Водитель автомобиля.||||2
8|Этот сигнал регулировщика означает, что разрешено движение:|Синему и зеленому автомобилям. Запрещено красному, желтому и белому.|Синему, красному и зеленому автомобилям. Запрещено желтому и белому.||||2
9|Каким транспортным средствам разрешается выполнить правый поворот?|Только красному автомобилю.|Всем транспортным средствам.|Красному и зеленому автомобилям.|||3
10|Движение разрешено:|Прямо.|Направо, в первый проезд.|Направо, во второй проезд.|Направо, в первый и второй проезды.||2
11|Движение разрешено:|Направо, в первый проезд.|Прямо и направо, в первый проезд.||||1
12|Этот светофор запрещает движение:|Только налево.|Прямо и налево.|Прямо и направо.|Только направо.||1
13|Если руки регулировщика вытянуты в стороны или опущены, то безрельсовым транспортным средствам запрещено движение:|Со стороны груди и спины - только направо.|Со стороны левого и правого бока - прямо и направо.|Со стороны левого и правого бока - только прямо.|||2
14|Водитель красного автомобиля:|Должен уступить дорогу.|Имеет право на первоочередное движение.||||1
15|Каким транспортным средствам разрешено движение?|Желтому и красному автомобилям.|Зеленому, красному и белому автомобилям.|Белому и зеленому автомобилям.|||1
16|При каком сигнале светофора водитель автомобиля может закончить разворот?|Красном.|Зеленом.|Любом.|||2
17|Что означает одновременное включение желтого и красного сигналов светофора?|Разрешает начинать движение.|Запрещает движение и предупреждает, что вскоре будет включен зеленый сигнал.|К перекрестку приближается транспортное средство, подающее специальные звуковые или проблесковые световые сигналы.|||2
18|В каком рисунке водитель правильно выполняет поворот?|На левом рисунке.|На правом рисунке.||||1
19|Обязан ли водитель трамвая при движении на зеленый сигнал светофора уступить дорогу транспортным средствам, движущимся с других направлений?|Обязан.|Не обязан.||||1
20|Данный светофор применяется для регулирования движения:|По всей ширине проезжей части.|По полосам проезжей части, направление движения по которым может изменяться на противоположное.|Только по полосам, предназначенным для движения транспортных средств общего пользования.|||2
21|Если правая рука регулировщика вытянута вперед, то движение безрельсовым транспортным средствам со стороны левого бока разрешено:|Во всех направлениях.|Только налево.||||1
22|Каким транспортным средствам разрешено движение при этом сигнале светофора?|Трамваю, желтому и красному автомобилям.|Желтому и красному автомобилям.|Всем транспортным средствам.|||2
23|Движение разрешено:|Всем транспортным средствам.|Мотоциклу.|Автомобилю и мотоциклу.|||2
24|Если руки регулировщика вытянуты в стороны или опущены, то безрельсовым транспортным средствам со стороны левого и правого боков движение разрешено:|Прямо и направо.|Только прямо.||||1
25|Водитель какого транспортного средства имеет преимущество в движении?|Водитель автобуса.|Водитель трамвая.||||2
26|Движение запрещено:|Зеленому и белому автомобилям.|Белому, синему и зеленому автомобилям.|Белому и желтому автомобилям.|Зеленому и желтому автомобилям.||2
27|При красном сигнале данного светофора движение запрещается:|По всей ширине проезжей части.|Со скоростью не более 50 км/ч.|По полосе, над которой он расположен.|||3
28|Что означает круглый зеленый мигающий сигнал светофора?|Информирует, что въезд на перекресток запрещен.|Разрешает движение и информирует, что время его действие истекает и вскоре будет включен запрещающий сигнал.||||2
29|Транспортные средства проедут перекресток в следующей последовательности:|Трамвай, красный автомобиль, зеленый автомобиль.|Красный автомобиль, трамвай одновременно с зеленым автомобилем.|Трамвай одновременно с зеленым автомобилем, красный автомобиль.|||2
30|В каком ответе верно указаны те транспортные средства, которым движение разрешено:|Автомобили и мотоцикл.|Все транспортные средства.|Автомобили и трамвай.|||1
31|Если правая рука регулировщика вытянута вперед, то движение безрельсовым транспортным средствам со стороны левого бока разрешено:|Прямо и налево.|Во всех направлениях.||||2
32|Движение запрещено:|Сине-желтому автомобилю - налево.|Сине-желтому автомобилю - прямо, красному автомобилю - прямо и направо.|Красному автомобилю.|||1
33|В каком направлении разрешено движение?|Прямо и направо, в первый проезд.|Направо, в первый проезд.|Направо, во второй проезд.|Направо, в первый и второй проезды.||2
34|Перекресток первым проедет:|Красный автомобиль.|Синий автомобиль.|Зеленый автомобиль.|||3
35|На каком рисунке водитель правильно выполняет поворот?|На левом рисунке.|На правом рисунке.|На обоих рисунках.|||1
36|Красный автомобиль проедет перекресток:|Первым.|Вторым.|Третьим.|Последним.||4
37|Данный светофор применяется:|Для регулирования движения трамваев и троллейбусов.|Для регулирования движения только трамваев.|Для регулирования движения трамваев, а также других транспортных средств общего пользования, движущихся по обособленной полосе.|||3
38|Автомобиль проедет перекресток:|Первым.|Вторым.||||1
39|Движение разрешено:|Сине-желтому автомобилю - прямо, красному - направо.|Красному автомобилю - прямо и направо, сине-желтому - прямо.|Обоим автомобилям - только прямо.|||2
40|Движение разрешено:|Красному автомобилю.|Мотоциклу.|Трамваю и красному автомобилю.|Трамваю.|Синему автомобилю.|1
41|Разрешается ли движение по обозначенной траектории, когда реверсивные светофоры выключены?|Разрешается.|Разрешается с целью обгона.|Запрещается.|Разрешается при отсутствии встречных транспортных средств.||3
42|В данной ситуации какие транспортные средства имеют право продолжить движение?|Легковой автомобиль - прямо, патрульный автомобиль - во всех направлениях, автобус - только прямо.|Только патрульный автомобиль - во всех направлениях.|Патрульный автомобиль - во всех направлениях, автобус - только направо.|||3
43|О чем информирует сигнал светофора?|Светофор неисправен.|При проезде перекрестка водители должны руководствоваться требованиями дорожного знака.|Водители должны дождаться разрешающего сигнала светофора.|||3
44|Разрешается ли водителю легкового автомобиля объехать автобус, когда отключен реверсивный светофор?|Разрешается.|Разрешается, если автобус движется со скоростью 30 км/ч.|Разрешается, если нет транспортных средств, движущихся навстречу.|Запрещается.||4
45|Какое транспортное средство должно уступить дорогу?|Автобус.|Мотоцикл и легковой автомобиль.||||1
46|По обозначенным траекториям имеют право продолжить движение:|Водитель грузового автомобиля.|Водители автобуса и грузового автомобиля.|Водители легкового автомобиля и автобуса.|Водитель автобуса.||4
47|Транспортные средства проедут перекресток в следующей последовательности:|Трамвай, легковой автомобиль, автобус.|Легковой автомобиль, трамвай, автобус.|Легковой автомобиль, автобус, трамвай.|||2
48|В данной ситуации имеет ли право водитель автобуса на движение прямо?|Да.|Нет.|Да, если он движется по обозначенному маршруту.|||2
49|В каком направлении водитель может продолжить движение?|Направо, в первый проезд.|Направо, в первый и второй проезд.|Налево, в первый проезд.|||1
50|При повороте направо водитель обязан уступить дорогу:|Только велосипедисту.|Только пешеходам.|Пешеходам и велосипедисту.|Может продолжать движение без остановки.||3
51|Транспортные средства проедут перекресток в следующей последовательности:|Трамвай, автобус, грузовой автомобиль, мотоцикл.|Автобус, грузовой автомобиль, трамвай, мотоцикл.|Автобус, трамвай и мотоцикл, грузовой автомобиль.|||3
52|Какой водитель имеет право на первоочередное движение?|Водитель автобуса.|Водитель легкового автомобиля.||||2
53|При выполнении поворота налево в данной ситуации:|Уступите дорогу трамваю.|Проедете перекресток первыми.||||2
54|Как следует поступить в данной ситуации?|Выехать на перекресток и, уступив дорогу легковому автомобилю, проехать перекресток.|Подождать перед "Стоп-линией", пока водитель легкового автомобиля проедет перекресток.|Проехать первым.|||1
55|Какой водитель нарушает правила движения при выполнении поворота?|Легкового автомобиля.|Мотоцикла.|Оба водителя.|Никто.||3
56|В данной ситуации при выполнении поворота направо уступить дорогу:|Обязаны.|Не обязаны.||||1
57|Разрешен ли поворот направо в данной ситуации?|Да, не препятствуя пешеходам.|Нет.||||1
58|Уступить дорогу водителю трамвая в данной ситуации:|Не обязаны.|Обязаны.||||2
59|При включении зеленого сигнала водитель:|Должен уступить водителю грузового автомобиля.|Имеет право на первоочередное движение.||||1
60|На этом перекрестке водитель:|Проедет первым.|Должен уступить дорогу трамваю.||||1
61|При проезде перекрестка прямо водитель:|Может проехать первым.|Должен уступить трамваю.|Должен уступить обоим водителям.|||2
62|При выполнении поворота водитель обязан уступить дорогу:|Только пешеходам.|Велосипедисту.|Велосипедисту и пешеходам.|||3
63|При выполнении поворота направо обязаны ли Вы уступить дорогу встречному водителю?|Да.|Нет.||||2
64|При проезде перекрестка прямо:|Мы можем проехать первыми.|Обязаны уступить дорогу водителю легкового автомобиля.||||2
65|При выполнении поворота налево следует уступить:|Только водителю легкового автомобиля.|Только пешеходам.|Водителю легкового автомобиля и пешеходам.|||3
66|Разрешается ли поворот направо в данной ситуации?|Нет.|Да, не препятствуя пешеходу.||||2
67|При выполнении поворота налево:|Вы обязаны уступить водителю трамвая.|Проедете перекресток первыми.||||1
68|Какие дорожные знаки не действуют, когда их требования противоречат значению сигналов светофора?|Знаки приоритета.|Запрещающие знаки.|Предписывающие знаки.|Все перечисленные.||1
69|В данной ситуации дорогу обязан уступить:|Водитель легкового автомобиля.|Водитель трамвая.||||2
70|При выполнении поворота направо:|Мы обязаны уступить дорогу водителю трамвая.|Проедем перекресток первыми.||||2
71|Вы намерены выполнить поворот налево. Кому Вы обязаны уступить дорогу?|Только водителю трамвая.|Никому.|Водителям автомобиля и трамвая.|||3
72|При выполнении поворота налево:|Выполните маневр без остановки.|После въезда на перекресток остановитесь перед второй "Стоп-линией" и подождете, пока включится зеленый сигнал.||||2
73|Обязаны ли мы в данной ситуации уступить водителю грузового автомобиля?|Да.|Нет.||||1
74|При выполнении поворота налево в данной ситуации следует:|Выехать на перекресток и подождать, пока регулировщик не подаст сигнал, разрешающий поворот налево.|Остановиться перед размеченной "Стоп-линией" и ожидать, пока регулировщик не подаст сигнал, разрешающий поворот налево.|Выехать на перекресток и, после того, как уступите дорогу встречному водителю, проехать перекресток.|||2
75|В каком случае Вы можете проехать перекресток, не уступая другим участникам дорожного движения?|При проезде прямо.|При выполнении поворота направо.|При выполнении поворота налево.|||1
76|При выполнении поворота направо следует:|Остановиться перед "Стоп-линией", чтобы не создавать препятствия для пешеходов.|Выезжая на перекресток, остановиться, чтобы не создавать препятствия для пешеходов.|Проехать перекресток без остановки.|||2
77|При выполнении поворота направо:|Следует уступить дорогу водителю легкового автомобиля.|Вы проедете перекресток первыми.||||2
