№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
1|Транспортные средства проедут перекресток в следующей последовательности:|Легковому автомобиль, автобус, тролейбус.|Тролейбус и автобус, легковой автомобиль.|Тролейбус, легковой автомобиль, автобус.|||3
2|Перекресток первым проедет:|Красный автомобиль.|Синий автомобиль.|Желтый автомобиль.|Зеленый автомобиль.||4
3|Перекресток последним проедет:|Синий автомобиль.|Зеленый автомобиль.|Красный автомобиль.|||1
4|Синий автомобиль проедет перекресток:|Первым.|Вторым.||||1
5|В каком ответе правильно указана очередность проезда перекрестка?|Автобус, легковой автомобиль, велосипед.|Легковой автомобиль, автобус, велосипед.|Велосипед, автобус, легковой автомобиль.|||3
6|Перекресток вторым проедет:|Трамвай.|Красный автомобиль.|Синий автомобиль.|||1
7|В каком направлении движение запрещено?|Направо, в первый проезд.|Направо, во второй проезд.|Направо, в первый и второй проезды.|||2
8|Перекресток вторым проедет:|Зеленый автомобиль.|Красный автомобиль.|Синий автомобиль.|||2
9|Перекресток вторым проедет:|Синий автомобиль.|Зеленый автомобиль.|Красный автомобиль.|||1
10|Перекресток вторым проедет:|Белый автомобиль одновременно с желтым.|Красный автомобиль.|Зеленый автомобиль.|||2
11|Перекресток последним проедет:|Синий автомобиль.|Желтый автомобиль.|Зеленый автомобиль.|Красный автомобиль.||3
12|Водитель какого транспортного средства должен уступить дорогу?|Велосипедист.|Водитель автомобиля.||||2
13|Перекресток первым проедет:|Зеленый автомобиль.|Синий автомобиль.|Красный автомобиль.|Желтый автомобиль.||3
14|В каком порядке транспортные средства проедут перекресток?|Мотоцикл, автомобиль, трамвай.|Трамвай автомобиль, мотоцикл.|Трамвай, мотоцикл, автомобиль.|||1
15|Перекресток вторым проедет:|Красный автомобиль.|Синий автомобиль.|Зеленый автомобиль.|||2
16|Перекресток последним проедет:|Зеленый автомобиль.|Синий автомобиль.|Красный автомобиль.|||3
17|Какой автомобиль последним проедет перекресток?|Синий.|Красный.|Зеленый.|||2
18|Перекресток первым проедет:|Зеленый автомобиль.|Красный автомобиль.|Синий автомобиль.|||1
19|Водитель какого транспортного средства должен уступить дорогу?|Водитель автобуса.|Водитель мотоцикла.||||1
20|Перекресток первым проедет:|Красный автомобиль.|Зеленый автомобиль.|Синий автомобиль.|||3
21|Перекресток вторым проедет:|Синий автомобиль.|Зеленый автомобиль.|Красный автомобиль.|||1
22|Перекресток третьим проедет:|Синий автомобиль.|Желтый автомобиль.|Зеленый автомобиль.|Красный автомобиль.||2
23|Красный автомобиль:|Имеет преимущество в движении, так как приблизился к перекрестку с круговым движением с правой стороны синего автомобиля.|Должен уступить дорогу синему автомобилю, движущемуся по дороге с круговым движением.||||2
